# Array definition for CST antenna array tools
# unit: meters
# Element	X 	Y 	Z 	Magnitude	Phase	Phi	Theta	Gamma
1	0	0	0	0.000161534332096355	-3.97308256455290	0	0	0
2	0.0145838000000000	0	0	0.000715657467398745	133.934974030060	0	0	0
3	0.0208875000000000	0	0	0.000687827838071855	-142.083535071558	0	0	0
4	0.0291431000000000	0	0	0.000624485857064306	-79.9602265081037	0	0	0
5	0.0421765000000000	0	0	0.000972263150334850	73.6981741976242	0	0	0
6	0.0498930000000000	0	0	0.000769182239507875	129.388833847896	0	0	0
7	0.0719496000000000	0	0	0.00110436362072461	-22.6505765884245	0	0	0
8	0.0851416000000000	0	0	0.00128501903682170	131.400629748124	0	0	0
9	0.106751500000000	0	0	0.000602399007450021	-15.6407915064981	0	0	0
10	0.121335300000000	0	0	0.00138982535401351	113.739124908607	0	0	0
11	0.127639000000000	0	0	0.000929382263024289	-163.743079016139	0	0	0
12	0.135894600000000	0	0	0.000584025272745792	-110.059609250343	0	0	0
13	0.148928000000000	0	0	0.000598033649147215	50.8204871708435	0	0	0
14	0.156644500000000	0	0	0.000439591301537582	102.413674784905	0	0	0
15	0.178701100000000	0	0	0.000133932563072686	-50.7904565108740	0	0	0
16	0.191893100000000	0	0	3.06042700997919e-05	108.199579705805	0	0	0
17	0	0.0145838000000000	0	0.000489077071708543	-3.97378674442114	0	0	0
18	0.0145838000000000	0.0145838000000000	0	0.00216679422856652	133.934269850192	0	0	0
19	0.0208875000000000	0.0145838000000000	0	0.00208253453317365	-142.084239251426	0	0	0
20	0.0291431000000000	0.0145838000000000	0	0.00189075418415837	-79.9609306879719	0	0	0
21	0.0421765000000000	0.0145838000000000	0	0.00294371857873687	73.6974700177559	0	0	0
22	0.0498930000000000	0.0145838000000000	0	0.00232885104006456	129.388129668028	0	0	0
23	0.0719496000000000	0.0145838000000000	0	0.00334367882490303	-22.6512807682928	0	0	0
24	0.0851416000000000	0.0145838000000000	0	0.00389064875226404	131.399925568256	0	0	0
25	0.106751500000000	0.0145838000000000	0	0.00182388188777138	-15.6414956863664	0	0	0
26	0.121335300000000	0.0145838000000000	0	0.00420797056270216	113.738420728739	0	0	0
27	0.127639000000000	0.0145838000000000	0	0.00281388822920100	-163.743783196008	0	0	0
28	0.135894600000000	0.0145838000000000	0	0.00176825177961497	-110.060313430211	0	0	0
29	0.148928000000000	0.0145838000000000	0	0.00181066490393898	50.8197829909753	0	0	0
30	0.156644500000000	0.0145838000000000	0	0.00133094942551472	102.412970605037	0	0	0
31	0.178701100000000	0.0145838000000000	0	0.000405507268355414	-50.7911606907422	0	0	0
32	0.191893100000000	0.0145838000000000	0	9.26604679508950e-05	108.198875525936	0	0	0
33	0	0.0208875000000000	0	0.000809214296534027	-3.97401879652828	0	0	0
34	0.0145838000000000	0.0208875000000000	0	0.00358512179129174	133.934037798085	0	0	0
35	0.0208875000000000	0.0208875000000000	0	0.00344570787459489	-142.084471303534	0	0	0
36	0.0291431000000000	0.0208875000000000	0	0.00312839306023382	-79.9611627400791	0	0	0
37	0.0421765000000000	0.0208875000000000	0	0.00487060076352603	73.6972379656488	0	0	0
38	0.0498930000000000	0.0208875000000000	0	0.00385325680783793	129.387897615920	0	0	0
39	0.0719496000000000	0.0208875000000000	0	0.00553236466121249	-22.6515128203999	0	0	0
40	0.0851416000000000	0.0208875000000000	0	0.00643736698211146	131.399693516149	0	0	0
41	0.106751500000000	0.0208875000000000	0	0.00301774788504830	-15.6417277384735	0	0	0
42	0.121335300000000	0.0208875000000000	0	0.00696239945748706	113.738188676632	0	0	0
43	0.127639000000000	0.0208875000000000	0	0.00465578681896424	-163.744015248115	0	0	0
44	0.135894600000000	0.0208875000000000	0	0.00292570374427384	-110.060545482319	0	0	0
45	0.148928000000000	0.0208875000000000	0	0.00299587940481701	50.8195509388681	0	0	0
46	0.156644500000000	0.0208875000000000	0	0.00220215455884650	102.412738552930	0	0	0
47	0.178701100000000	0.0208875000000000	0	0.000670941857395457	-50.7913927428494	0	0	0
48	0.191893100000000	0.0208875000000000	0	0.000153313618091836	108.198643473829	0	0	0
49	0	0.0291431000000000	0	0.000873173578823468	-3.97385962190238	0	0	0
50	0.0145838000000000	0.0291431000000000	0	0.00386848531770666	133.934196972710	0	0	0
51	0.0208875000000000	0.0291431000000000	0	0.00371805230002349	-142.084312128908	0	0	0
52	0.0291431000000000	0.0291431000000000	0	0.00337565732102213	-79.9610035654532	0	0	0
53	0.0421765000000000	0.0291431000000000	0	0.00525556693440043	73.6973971402747	0	0	0
54	0.0498930000000000	0.0291431000000000	0	0.00415781338940329	129.388056790546	0	0	0
55	0.0719496000000000	0.0291431000000000	0	0.00596963581992803	-22.6513536457740	0	0	0
56	0.0851416000000000	0.0291431000000000	0	0.00694616838833116	131.399852690775	0	0	0
57	0.106751500000000	0.0291431000000000	0	0.00325626689006943	-15.6415685638476	0	0	0
58	0.121335300000000	0.0291431000000000	0	0.00751269877155082	113.738347851258	0	0	0
59	0.127639000000000	0.0291431000000000	0	0.00502377436529039	-163.743856073489	0	0	0
60	0.135894600000000	0.0291431000000000	0	0.00315694769594000	-110.060386307693	0	0	0
61	0.148928000000000	0.0291431000000000	0	0.00323266995260950	50.8197101134940	0	0	0
62	0.156644500000000	0.0291431000000000	0	0.00237621009108006	102.412897727556	0	0	0
63	0.178701100000000	0.0291431000000000	0	0.000723972259652016	-50.7912335682235	0	0	0
64	0.191893100000000	0.0291431000000000	0	0.000165431334029816	108.198802648455	0	0	0
65	0	0.0421765000000000	0	0.00140967589492322	-3.97372197099526	0	0	0
66	0.0145838000000000	0.0421765000000000	0	0.00624539110492025	133.934334623618	0	0	0
67	0.0208875000000000	0.0421765000000000	0	0.00600252782553167	-142.084174478001	0	0	0
68	0.0291431000000000	0.0421765000000000	0	0.00544975577636900	-79.9608659145461	0	0	0
69	0.0421765000000000	0.0421765000000000	0	0.00848473453761892	73.6975347911818	0	0	0
70	0.0498930000000000	0.0421765000000000	0	0.00671249045181632	129.388194441453	0	0	0
71	0.0719496000000000	0.0421765000000000	0	0.00963754735703482	-22.6512159948669	0	0	0
72	0.0851416000000000	0.0421765000000000	0	0.0112140889012032	131.399990341682	0	0	0
73	0.106751500000000	0.0421765000000000	0	0.00525700851891614	-15.6414309129405	0	0	0
74	0.121335300000000	0.0421765000000000	0	0.0121287114279663	113.738485502165	0	0	0
75	0.127639000000000	0.0421765000000000	0	0.00811052211843759	-163.743718422582	0	0	0
76	0.135894600000000	0.0421765000000000	0	0.00509666482865458	-110.060248656786	0	0	0
77	0.148928000000000	0.0421765000000000	0	0.00521891296181501	50.8198477644012	0	0	0
78	0.156644500000000	0.0421765000000000	0	0.00383622016046604	102.413035378463	0	0	0
79	0.178701100000000	0.0421765000000000	0	0.00116880110412831	-50.7910959173163	0	0	0
80	0.191893100000000	0.0421765000000000	0	0.000267076981602040	108.198940299362	0	0	0
81	0	0.0498930000000000	0	0.00141696173238516	-3.97377409161011	0	0	0
82	0.0145838000000000	0.0498930000000000	0	0.00627767008808269	133.934282503003	0	0	0
